,Município,Estado,Prestadores,Serviços,Natureza Jurídica,QD011 - Quantidades de extravasamentos de esgotos registrados,QD012 - Duração dos extravasamentos registrados,QD021 - Quantidade de interrupções sistemáticas,QD022 - Duração das interrupções sistemáticas,QD023 - Quantidade de reclamações ou solicitações de serviços,QD024 - Quantidade de serviços executados,QD025 - Tempo total de execução dos serviços,POPULAÇÃO ESTIMADA
70,Maragogi,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,2.062,2.062,"962,38",32704
72,Marechal Deodoro,AL,[27047011] Serviço Autônomo de Água e Esgoto - SAAE,Água e Esgoto,Autarquia,,,,,7.754,7.141,"14.282,00",51901
74,Mar Vermelho,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,140.0,"2.526,00",789,782,"236,00",3514
76,Matriz de Camaragibe,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,,,302,302,"288,58",24642
77,Messias,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,,,257,257,"285,78",17856
79,Monteirópolis,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,55.0,"1.293,00",165,165,"4.290,00",7159
81,Novo Lino,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,1.0,"25,00",437,437,"255,61",12690
85,Olivença,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,63.0,"2.375,00",155,155,"4.030,00",11624
88,Palmeira dos Índios,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27063040] SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS E CONVÍVIO URBANO - SPCU,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,65.0,"3.120,00",,,24.389,24.221,"7.262,00",73218
93,Paulo Jacinto,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água e Esgoto,Sociedade de economia mista com administração pública,43.0,"2.064,00",,,2.195,2.162,"652,50",7564
94,Penedo,AL,[27067011] Serviço Autônomo de Água e Esgoto - SAAE | [27067040] Secretaria Municipal de Serviços Públicos - SEMSP,Água | Res. Sólidos,Autarquia | Administração pública direta,,,30.0,"12.000,00",100,100,"400,00",63683
98,Piranhas,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água e Esgoto,Sociedade de economia mista com administração pública,171.0,"1.410,00",,,2.649,2.300,"1.083,25",25039
99,Poço das Trincheiras,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27072040] Prefeitura Municipal de Poço Das Trincheiras - PMPT,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,40.0,"4.802,00",144,144,"3.744,00",14386
103,Quebrangulo,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água e Esgoto,Sociedade de economia mista com administração pública,20.0,"960,00",,,2.932,2.685,"808,00",11294
104,Rio Largo,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água e Esgoto,Sociedade de economia mista com administração pública,24.0,"1.152,00",182.0,"6.144,00",4.166,4.166,"2.427,12",75120
107,Santana do Ipanema,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água e Esgoto,Sociedade de economia mista com administração pública,20.0,"82,00",89.0,"1.466,00",3.302,3.302,"85.852,00",47654
111,São José da Tapera,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,92.0,"1.593,00",577,577,"15.002,00",32260
113,São Miguel dos Campos,AL,[27086011] Serviço Autônomo de Água e Esgoto - SAAE | [27086040] Prefeitura Municipal de São Miguel dos Campos - PMSMC,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,,,5.0,"40,00",11.651,10.480,,61251
116,Satuba,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,,,399,399,"273,72",13828
122,União dos Palmares,AL,[27093011] Serviço Autônomo de Água e Esgoto - SAAE,Água e Esgoto,Autarquia,8.0,"120,00",32.0,"204,00",13.479,13.071,"6.535,50",65611
124,Alvarães,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA | [13000240] Prefeitura Municipal de Alvarães - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,12.0,"699,00",313,312,"3,12",16041
130,Autazes,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,5.0,"190,00",276,276,"2,76",39565
133,Benjamin Constant,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA | [13006040] Secretaria Municipal Obras e Limpeza Pública - SEMOSB,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,21.0,"133,00",1.327,1.327,"13,27",42984
140,Carauari,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA | [13010011] Prefeitura Municipal de Carauari - PMC | [13010040] SECRETARIA MUNICIPAL DE OBRAS E URBANISMO - SEMOBUR,Água | Esgotos | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta | Administração pública direta,21.0,"10,00",25.0,"166,00",2.128,2.122,"28,93",28294
142,Careiro da Várzea,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,10.0,"65,00",124,120,"12,00",30225
144,Codajás,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,10.0,"166,00",570,569,"5,69",28637
145,Eirunepé,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,16.0,"166,00",1.733,1.733,"17,33",35273
153,Itamarati,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,18.0,"308,00",489,489,"4,89",7851
156,Juruá,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,18.0,"328,00",708,708,"7,08",14712
160,Manaquiri,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,12.0,"544,00",722,722,"7,22",32105 (2)
161,Manaus,AM,[13026011] Manaus Ambiental - MA | [13026040] SECRETARIA MUNICIPAL DE LIMPEZA URBAN - SEMULSP,Água e Esgoto | Res. Sólidos,Empresa privada | Administração pública direta,4.531,"22.546,00",,,67.566,67.261,"343.180,00",2182763
162,Manicoré,AM,[13027011] Prefeitura Municipal de Manicoré - PMM | [13027040] PREFEITURA MUNICIPAL DE MANICORÉ - PMM,Água | Res. Sólidos,Administração pública direta | Administração pública direta,,,18.0,"144,00",600,550,"700,00",55751
167,Novo Airão,AM,[13032011] Prefeitura Municipal de Novo Airão - PMNA | [13032040] PREFEITURA MUNICIPAL DE NOVO AIRÃO - PMNA,Água | Res. Sólidos,Administração pública direta | Administração pública direta,,,1.0,"6,00",312,312,"624,00",19454
176,São Paulo de Olivença,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,21.0,"456,00",1.281,1.279,"12,79",39299
179,Tabatinga,AM,[13026000] Companhia de Saneamento do Amazonas - COSAMA,Água,Sociedade de economia mista com administração pública,,,33.0,"678,00",4.029,4.027,"40,27",65844
184,Urucará,AM,[13043011] Serviço Autônomo de Água e Esgoto - SAAE | [13043040] Prefeitura Municipal de Urucará - PMU,Água | Res. Sólidos,Autarquia | Administração pública direta,,,,,948,948,"1.896,00",16256 (4)
192,Macapá,AP,[16003000] Companhia de Água e Esgoto do Amapá - CAESA | [16003040] Prefeitura Municipal de Macapá - PMM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,78.0,"117,00",,,559,391,"293,25",503327
193,Mazagão,AP,[16003000] Companhia de Água e Esgoto do Amapá - CAESA,Água e Esgoto,Sociedade de economia mista com administração pública,2.0,"3,00",,,8,8,"6,00",21632
203,Abaré,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água e Esgoto,Sociedade de economia mista com administração pública,,,516.0,"3.612,00",11.219,4.752,"1.887,19",20086
204,Acajutiba,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29003040] Prefeitura Municipal de Acajutiba - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,11.675,8.034,"1.383,35",15159
205,Adustina,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29003540] PREFEITURA MUNICIPAL DE ADUSTINA - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,112.0,"3.840,00",7.592,4.961,"2.064,11",17040 (8)
206,Água Fria,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,5.836,3.158,"524,06",16970
207,Aiquara,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,180.0,"4.320,00",2.483,843,"303,06",4446
208,Alagoinhas,BA,[29007011] Serviço Autônomo de Água e Esgoto - SAAE | [29007040] SECRETARIA DE SERVIÇOS PÚBLICOS - SESEP,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,1.284,,,,38.974,35.968,,151596
209,Alcobaça,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29008040] Prefeitura Municipal de Alcobaça - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,20.931,13.136,"4.696,07",22470
210,Almadina,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,3.728,1.978,"333,71",5464
211,Amargosa,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água e Esgoto,Sociedade de economia mista com administração pública,,,89.0,"3.251,00",35.680,26.230,"15.901,76",37241 (9)
212,Amélia Rodrigues,BA,"[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29011040] secretaria de obras, habitação e serviços publicos - SOSP",Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,1.359,"32.118,00",24.099,19.045,"3.586,30",25102
213,América Dourada,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29011540] PREFEITURA MUNICIPAL DE AMERICA DOURADA - PMAD,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,312.0,"8.640,00",13.103,8.609,"1.562,33",16094
214,Anagé,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29012040] Prefeitura Municipal de Anagé - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.448,1.486,"174.352,94",17857
215,Andaraí,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29013040] Prefeitura Municipal de Andaraí - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,228.0,"5.472,00",5.047,3.105,"15.881,30",13143
216,Andorinha,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,233.0,"19.222,00",6.056,5.217,"1.181,86",14595
217,Angical,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,9.442,3.766,"914,50",13977
218,Anguera,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29015040] Prefeitura Municipal de Anguera - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,280.0,"12.205,00",6.371,4.975,"680,61",11221
219,Antas,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,6.435,3.271,"1.100,13",19291
220,Antônio Cardoso,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,78.0,"3.499,00",4.981,3.130,"826,46",11683
221,Antônio Gonçalves,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,36.0,"5.400,00",3.583,2.712,"5.428,24",11798
222,Aporá,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,12.427,7.645,"2.324,93",17731
223,Apuarema,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,4.184,1.708,"2.885,20",7330
225,Aracatu,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,5.879,4.432,"948,17",13135
226,Araci,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29021011] Prefeitura Municipal de Araci - PMA | [29021040] Prefeitura Municipal de Araci - PMA,Esgotos | Água e Esgoto | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,19.426,13.759,,54379
227,Aramari,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29022040] PREFEITURA MUNICIPAL DE ARAMARI - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,288.0,"6.912,00",4.324,2.375,"904,10",11397
228,Arataca,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,5.471,3.739,"518,42",11019
229,Aratuípe,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29023040] Prefeitura Municipal de Aratuípe - PMA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.161,2.625,"4.679,55",8825
230,Aurelino Leal,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,14.061,10.146,"6.555,05",11531
231,Baianópolis,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,4.551,1.124,"241,56",13877
232,Baixa Grande,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29026011] Prefeitura Municipal de Baixa Grande - PMBG,Esgotos | Água,Administração pública direta | Sociedade de economia mista com administração pública,,,648.0,"43.968,00",9.807,4.678,"8.258,86",20468
233,Banzaê,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29026511] Prefeitura Municipal de Banzaê - PMB | [29026540] PREFEITURA MUNICIPAL DE BANZAÊ - PMB,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,4.0,"40,00",2.548,1.500,"456,89",13229 (10)
234,Barra,BA,[29027011] Serviço Autônomo de Água e Esgoto - SAAE | [29027040] PREFEITURA MUNICIPAL DA BARRA - PMB,Água | Res. Sólidos,Autarquia | Administração pública direta,,,2.0,"15,00",150,150,"2.112,00",53578
235,Barra da Estiva,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29028011] Prefeitura Municipal de Barra da Estiva - PMBE | [29028040] PREFEITURA MUNICIPAL DE BARRA DA ESTIVA - PMBE,Água e Esgoto | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,3.0,"150,00",674,413,"126,92",20598
236,Barra do Choça,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,30.109,24.945,"4.873,41",31603
237,Barra do Mendes,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,1.884,"45.216,00",7.782,5.395,"2.302,28",13865
238,Barra do Rocha,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,3.626,2.448,"423,82",5714
239,Barreiras,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água e Esgoto,Sociedade de economia mista com administração pública,,,435.0,"4.350,00",189.928,160.161,"47.317,12",155439
240,Barro Alto,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,663.0,"15.912,00",4.256,2.420,"974,95",14931
241,Barrocas,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29032740] Prefeitura Municipal de Barrocas - PMB,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,7.494,6.643,"2.653,51",15978
243,Belmonte,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,12.417,7.283,"2.038,72",23328
244,Belo Campo,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29035040] Prefeitura Municipal de Belo Campo - PMBC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,7.211,5.992,"40.111,29",17211
245,Biritinga,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29036011] Prefeitura Municipal de Biritinga - PMB | [29036040] Prefeitura Municipal de Biritinga - PMB,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.118,3.058,,15979
246,Boa Nova,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,5.104,3.049,"1.214,87",12633
247,Boa Vista do Tupim,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29038011] Prefeitura Municipal de Boa Vista do Tupim - PMBVT | [29038040] Prefeitura Municipal de Boa Vista do Tupim - PMBVT,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Empresa pública,,,1.476,"27.360,00",10.796,6.332,,18576
248,Bom Jesus da Lapa,BA,[29039011] Serviço Autônomo de Água e Esgoto - SAAE | [29039040] Prefeitura Municipal de Bom Jesus da Lapa - PM,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,3.692,"1.846,00",,,14.941,14.225,"7.112,00",69148
249,Bom Jesus da Serra,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29039540] PREFEITURA MUNICIPAL DE BOM JESUS DA SERRA - BA,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,2.549,1.782,"756,80",9880
250,Boninal,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29040040] PREFEITURA MUNICIPAL DE BONINAL - PMB,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,288.0,"3.456,00",2.172,1.203,"473,14",14368
251,Bonito,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,144.0,"1.728,00",5.147,3.407,"1.717,74",16764
253,Botuporã,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,252.0,"2.688,00",3.535,1.791,"512,95",10211
254,Brejões,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29043011] Prefeitura Municipal de Brejões - PMB,Esgotos | Água,Administração pública direta | Sociedade de economia mista com administração pública,620.0,"1.860,00",,,6.831,2.944,"3.183,79",14295
255,Brejolândia,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29044040] Prefeitura Municipal de Brejolândia - PMB,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.212,1.123,"1.288,01",10557
256,Brotas de Macaúbas,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29045011] Prefeitura Municipal de Brotas de Macaubas - PMBM | [29045040] Prefeitura Municipal d Brotas de Macaúbas - PMBM,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Empresa pública,,,264.0,"4.608,00",2.404,1.482,,10231
257,Brumado,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29046040] Prefeitura Municipal de Brumado - PMB,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,81.060,73.551,"23.408,85",67195
258,Buerarema,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,15.581,13.070,"7.701,58",18349
260,Caatiba,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água,Sociedade de economia mista com administração pública,,,,,4.911,2.463,"1.681,36",6758
261,Cabaceiras do Paraguaçu,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29048540] PREFEITURA MUNICIPAL DE CABACEIRAS DO PARAGUAÇU - PMCP,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,60.0,"600,00",9.669,6.651,"6.300,19",18807
262,Cachoeira,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,28.326,19.324,"9.379,30",33470
263,Caculé,BA,[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29050011] Prefeitura Municipal de Caculé - PMC,Esgotos | Água,Administração pública direta | Sociedade de economia mista com administração pública,100.0,"300,00",238.0,"1.772,00",12.794,7.141,"4.047,98",23170
